timestamp_ms,raw_value,leads_off,bpm
1771381786562,354,0,
1771381786566,357,0,
1771381786574,356,0,
1771381786578,356,0,
1771381786582,358,0,
1771381786591,358,0,
1771381786595,360,0,
1771381786599,359,0,
1771381786603,358,0,
1771381786611,360,0,
1771381786615,360,0,
1771381786619,359,0,
1771381786623,358,0,
1771381786632,358,0,
1771381786636,359,0,
1771381786640,357,0,
1771381786648,357,0,
1771381786652,358,0,
1771381786656,358,0,
1771381786660,357,0,
1771381786668,358,0,
1771381786673,358,0,
1771381786677,359,0,
1771381786681,358,0,
1771381786689,357,0,
1771381786693,357,0,
1771381786697,359,0,
1771381786701,358,0,
1771381786709,357,0,
1771381786713,357,0,
1771381786718,358,0,
1771381786726,356,0,
1771381786730,355,0,
1771381786734,356,0,
1771381786738,356,0,
1771381786746,354,0,
1771381786750,355,0,
1771381786754,352,0,
1771381786759,353,0,
1771381786767,352,0,
1771381786771,350,0,
1771381786775,349,0,
1771381786783,351,0,
1771381786787,351,0,
1771381786791,351,0,
1771381786795,347,0,
1771381786804,343,0,
1771381786808,334,0,
1771381786812,325,0,
1771381786816,323,0,
1771381786824,326,0,
1771381786828,330,0,
1771381786832,335,0,
1771381786836,335,0,
1771381786844,338,0,
1771381786849,341,0,
1771381786853,345,0,
1771381786861,348,0,
1771381786865,349,0,
1771381786869,349,0,
1771381786873,349,0,
1771381786881,349,0,
1771381786885,349,0,
1771381786890,348,0,
1771381786894,348,0,
1771381786902,350,0,
1771381786906,349,0,
1771381786910,351,0,
1771381786918,351,0,
1771381786922,349,0,
1771381786926,349,0,
1771381786931,357,0,
1771381786939,365,0,
1771381786943,362,0,
1771381786947,335,0,
1771381786951,278,0,
1771381786959,182,0,
1771381786963,45,0,
1771381786963,0,0,
1771381786967,0,0,
1771381786971,0,0,
1771381786976,0,0,
1771381786980,35,0,
1771381786984,171,0,
1771381786988,324,0,
1771381786997,374,0,
1771381787000,365,0,
1771381787004,360,0,
1771381787008,368,0,
1771381787017,376,0,
1771381787021,380,0,
1771381787025,383,0,
1771381787029,384,0,
1771381787037,385,0,
1771381787041,382,0,
1771381787045,382,0,
1771381787053,382,0,
1771381787057,378,0,
1771381787062,376,0,
1771381787066,377,0,
1771381787074,374,0,
1771381787078,372,0,
1771381787082,369,0,
1771381787086,364,0,
1771381787094,363,0,
1771381787098,361,0,
1771381787103,357,0,
1771381787107,354,0,
1771381787115,351,0,
1771381787119,349,0,
1771381787123,344,0,
1771381787131,339,0,
1771381787135,336,0,
1771381787139,330,0,
1771381787144,326,0,
1771381787152,322,0,
1771381787156,317,0,
1771381787160,314,0,
1771381787164,310,0,
1771381787172,306,0,
1771381787176,305,0,
1771381787180,303,0,
1771381787189,301,0,
1771381787193,300,0,
1771381787197,300,0,
1771381787201,299,0,
1771381787209,298,0,
1771381787213,297,0,
1771381787217,301,0,
1771381787221,302,0,
1771381787229,304,0,
1771381787234,311,0,
1771381787238,315,0,
1771381787246,320,0,
1771381787250,326,0,
1771381787254,329,0,
1771381787258,335,0,
1771381787266,339,0,
1771381787271,342,0,
1771381787275,346,0,
1771381787279,349,0,
1771381787287,352,0,
1771381787291,351,0,
1771381787295,352,0,
1771381787299,353,0,
1771381787307,353,0,
1771381787311,352,0,
1771381787315,355,0,
1771381787324,354,0,
1771381787328,355,0,
1771381787332,355,0,
1771381787336,354,0,
1771381787344,356,0,
1771381787348,355,0,
1771381787352,355,0,
1771381787356,354,0,
1771381787365,356,0,
1771381787369,356,0,
1771381787373,354,0,
1771381787381,354,0,
1771381787385,356,0,
1771381787389,356,0,
1771381787394,355,0,
1771381787402,356,0,
1771381787406,354,0,
1771381787410,356,0,
1771381787414,355,0,
1771381787422,354,0,
1771381787426,353,0,
1771381787430,353,0,
1771381787434,355,0,
1771381787443,353,0,
1771381787447,354,0,
1771381787451,353,0,
1771381787459,352,0,
1771381787463,352,0,
1771381787467,354,0,
1771381787471,352,0,
1771381787479,352,0,
1771381787483,351,0,
1771381787487,348,0,
1771381787492,350,0,
1771381787500,349,0,
1771381787504,347,0,
1771381787508,347,0,
1771381787516,344,0,
1771381787520,338,0,
1771381787524,327,0,
1771381787528,319,0,
1771381787537,321,0,
1771381787541,326,0,
1771381787545,330,0,
1771381787549,334,0,
1771381787557,335,0,
1771381787561,338,0,
1771381787565,340,0,
1771381787569,344,0,
1771381787578,348,0,
1771381787582,349,0,
1771381787586,348,0,
1771381787594,347,0,
1771381787598,348,0,
1771381787602,350,0,
1771381787606,348,0,
1771381787614,349,0,
1771381787619,350,0,
1771381787623,349,0,
1771381787627,350,0,
1771381787635,350,0,
1771381787639,350,0,
1771381787643,352,0,
1771381787651,363,0,
1771381787655,367,0,
1771381787660,358,0,
1771381787664,317,0,
1771381787672,248,0,
1771381787676,132,0,
1771381787680,0,0,
1771381787680,0,0,
1771381787684,0,0,
1771381787688,0,0,
1771381787692,3,0,
1771381787696,77,0,
1771381787700,223,0,
1771381787705,351,0,
1771381787713,376,0,
1771381787717,365,0,
1771381787721,364,0,
1771381787725,370,0,
1771381787733,377,0,
1771381787737,383,0,
1771381787741,382,0,
1771381787746,384,0,
1771381787754,384,0,
1771381787758,381,0,
1771381787762,380,0,
1771381787766,380,0,
1771381787774,377,0,
1771381787778,374,0,
1771381787782,373,0,
1771381787791,371,0,
1771381787795,368,0,
1771381787799,368,0,
1771381787803,367,0,
1771381787811,361,0,
1771381787815,357,0,
1771381787819,357,0,
1771381787823,352,0,
1771381787832,347,0,
1771381787836,346,0,
1771381787840,339,0,
1771381787848,335,0,
1771381787852,332,0,
1771381787856,327,0,
